                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4327,                  5.135,                 4.2263,                      0,                      0,                      0,                      0,                 3.1665,                 5.0196,                 4.1584,               4.44e-05,               4.44e-05,               4.44e-05
                      2,                 3.4786,                 5.1182,                 4.2143,                      0,                      0,                      0,                      0,                 3.1666,                 5.0183,                 4.1555,             9.2408e-05,             9.2408e-05,             9.2408e-05
                      3,                 3.3271,                 5.0951,                 4.1758,                      0,                      0,                      0,                      0,                 3.1642,                 5.0126,                 4.1457,             0.00014032,             0.00014032,             0.00014032
                      4,                 3.4693,                 5.0662,                 4.1577,                      0,                      0,                      0,                      0,                 3.1603,                 4.9998,                 4.1293,             0.00018814,             0.00018814,             0.00018814
                      5,                 3.5041,                 5.0653,                 4.1387,                      0,                      0,                      0,                      0,                 3.1565,                 4.9796,                 4.1078,             0.00023586,             0.00023586,             0.00023586
                      6,                 3.3241,                 4.9582,                 4.1048,                      0,                      0,                      0,                      0,                 3.1425,                 4.9537,                 4.0788,             0.00028349,             0.00028349,             0.00028349
                      7,                 3.4014,                 4.9087,                 4.0554,                      0,                      0,                      0,                      0,                 3.1245,                  4.937,                 4.0726,             0.00033102,             0.00033102,             0.00033102
                      8,                 3.3556,                 4.8404,                 4.0015,                  3e-05,                0.01087,                  4e-05,                  2e-05,                 3.1064,                  4.843,                 4.0293,             0.00036744,             0.00036744,             0.00036744
                      9,                 3.3802,                 4.7179,                 3.9588,                0.00116,                  0.059,                0.00145,                0.00044,                 3.1021,                 4.5801,                 3.8611,             0.00036707,             0.00036707,             0.00036707
                     10,                 3.3199,                 4.7433,                 3.8759,                0.00096,                0.08057,                0.00157,                0.00049,                 3.1012,                 4.4323,                 3.7701,              0.0003667,              0.0003667,              0.0003667
